,display,address,x,y
78,고양어린이박물관,경기도 고양시 덕양구 화정동 1003,126.8309438,37.6295571
79,경안군및임창군묘,경기도 고양시 덕양구 대자동,126.8826237,37.6976762
80,구로시장,서울특별시 구로구 구로동 736-1,126.8856076,37.4894190
81,UN조각공원,부산광역시 남구 대연동 779-1,129.0975845,35.1295885
82,서울원각사지십층석탑,서울특별시 종로구 종로2가,126.9882095,37.5715611
83,부산시민공원역사관,부산광역시 부산진구 연지동 195-1,129.0543590,35.1672197
84,양화진외국인선교사묘원,서울특별시 마포구 합정동 114-3,126.9111429,37.5467059
85,영등포중앙시장,서울특별시 영등포구 영등포동5가 18-1,126.9069050,37.5203400
86,부평향교,인천광역시 계양구 계산동,126.7203191,37.5397761
87,부평종합시장,인천광역시 부평구 부평동 360-1,126.7266381,37.4965075
88,선바위미술관,경기도 과천시 과천동 445,126.9993545,37.4517446
89,명장한마음공원,부산광역시 동래구 명장동,129.1045125,35.2036929
90,서울풍물시장,서울특별시 동대문구 신설동 109-5 서울풍물시장,127.0254173,37.5726882
91,영천시장,서울특별시 서대문구 영천동 323,126.9618156,37.5703008
92,건원릉,경기도 구리시 인창동 산4-1,127.1312136,37.6252673
93,망원 한강공원,서울특별시 마포구 망원동 205-4,126.8952797,37.5553018
94,조형갤러리,서울특별시 종로구 인사동 194-27 태화빌딩 지하1층,126.9847880,37.5719330
95,맥도생태공원,부산광역시 강서구 대저2동,128.9553775,35.1507174
96,백영수미술관,경기도 의정부시 호원동 260-13,127.0444316,37.7137330
97,한국근대문학관,인천광역시 중구 해안동2가 7 한국근대문학관,126.6210075,37.4726122
98,부천유럽자기박물관,경기도 부천시 춘의동 8,126.7985619,37.5036427
99,마천중앙시장,서울특별시 송파구 마천동 140-2,127.1503220,37.4980901
100,신흥시장,경기도 부천시 삼정동 315,126.7708928,37.5156043
101,꽃님어린이공원,부산광역시 금정구 남산동,129.0868625,35.2718417
102,돈의문박물관마을,서울특별시 종로구 신문로2가 7-22,126.9684013,37.5687888
103,영동전통시장,서울특별시 강남구 논현동 145-16,127.0239917,37.5091889
104,광주 양동시장,광주광역시 서구 양동 2-1,126.9016926,35.1535259
105,원당시장,경기도 고양시 덕양구 성사동 697-14,126.8373421,37.6568517
106,종로신진시장,서울특별시 종로구 종로5가 225-21,127.0050229,37.5703847
107,한국카메라박물관,경기도 과천시 막계동 330,127.0056553,37.4350564
108,반여3동전통시장,부산광역시 해운대구 반여동 1581,129.1325880,35.1999760
109,부산시민공원,부산광역시 부산진구 범전동 200,129.0571136,35.1685762
110,남구로시장,서울특별시 구로구 구로동 741-27,126.8848834,37.4907405
111,시흥문원리삼층석탑,경기도 과천시 갈현동,126.9853241,37.4226847
112,하남역사박물관,경기도 하남시 덕풍동 694,127.2060803,37.5454837
113,혜명단청박물관,인천광역시 중구 중앙동3가 4-59,126.6221040,37.4719231
114,삼청공원 숲속도서관,서울특별시 종로구 삼청동,126.9841031,37.5879866
115,갤러리수정,부산광역시 동구 수정동 1186-1,129.0378591,35.1270590
116,부평아트센터,인천광역시 부평구 십정동 186-411,126.7047975,37.4825186
117,모라공원,부산광역시 사상구 모라동  1365-1,128.9903500,35.1836012
118,모라어울림공원,부산광역시 사상구 모라동,128.9840390,35.1839664
119,고동바위공원,부산광역시 사상구 모라동,128.9903557,35.1884964
120,고양가와지볍씨박물관,경기도 고양시 덕양구 원흥동 471-10,126.8692238,37.6496251
121,소다미술관,경기도 화성시 안녕동 138-109,127.0061613,37.2016398
122,삼청공원,서울특별시 종로구 삼청동 산2-1,126.9842875,37.5895821
123,동부시장,서울특별시 중랑구 면목동 294-19,127.0769542,37.5922869
124,양주시립장욱진미술관,경기도 양주시 장흥면 석현리 산1,126.9483414,37.7324894
125,진흥종합시장,인천광역시 부평구 부평동 252-52,126.7267751,37.4969318
126,김중업건축박물관,경기도 안양시 만안구 석수동 214,126.9177418,37.4184431
127,창덕궁,서울특별시 종로구 와룡동 2-71,126.9919376,37.5826041
128,정동1928 아트센터,서울특별시 중구 정동 1-23,126.9738346,37.5678957
129,인사아트프라자갤러리,서울특별시 종로구 관훈동 21,126.9856312,37.5738622
130,서대문구청,서울특별시 서대문구 연희동 168-6,126.9368000,37.5792250
131,청담삼익시장,서울특별시 강남구 청담동 134-20,127.0577209,37.5225818
132,한전아트센터 갤러리,서울특별시 서초구 서초동 1355,127.0279546,37.4858412
133,한국등잔박물관,경기도 용인시 처인구 모현읍 능원리 258-9,127.1778086,37.3365998
134,전태일기념관,서울특별시 종로구 관수동 152-1,126.9892914,37.5684612
135,한양도성박물관,서울특별시 종로구 종로6가 70,127.0085535,37.5729025
136,갤러리 현대 본관,서울특별시 종로구 사간동 122,126.9798135,37.5766252
137,파라다이스시티아트파라디소,인천광역시 중구 운서동 2874,126.4578187,37.4370085
138,동대문디자인플라자,서울특별시 중구 을지로7가 2-1,127.0099323,37.5675465
139,금나래아트홀도서관,서울특별시 금천구 시흥1동 1020,126.8957384,37.4565795
140,흥인지문공원,서울특별시 종로구 종로6가 70,127.0089141,37.5724677
141,가회민화박물관,서울특별시 종로구 가회동 28,126.9852375,37.5814917
142,웃는얼굴아트센터,대구광역시 달서구 장기동 722-1,128.5229793,35.8435132
143,공세리오층석탑,경기도 용인시 기흥구 공세동 264,127.1043570,37.2330971
144,초록어린이공원,경기도 수원시 장안구 정자동,126.9873439,37.3002686
145,덕수궁,서울특별시 중구 정동 5-1,126.9749148,37.5660945
146,동구릉혜릉,경기도 구리시 인창동 산10-2,127.1307217,37.6172922
147,도산 안창호 기념관,서울특별시 강남구 신사동 649-9,127.0356302,37.5239978
148,예술의전당디자인미술관,서울특별시 서초구 서초동 700,127.0127286,37.4798752
149,현대종합시장,경기도 안양시 동안구 호계동,126.9594138,37.3726077
150,안양박물관,경기도 안양시 만안구 석수동 212-1,126.9183078,37.4184000
151,한국이민사박물관,인천광역시 중구 북성동1가 102-2 한국이민사박물관,126.6001999,37.4702597
152,낙산공원,서울특별시 종로구 동숭동 산2-10,127.0075870,37.5804770
153,망우리공원,서울특별시 중랑구 망우동 산57-1,127.1145314,37.5986817
154,하늘공원,서울특별시 마포구 상암동 482,126.8850629,37.5675623
155,경운궁중명전,서울특별시 중구 정동,126.9725146,37.5666196
156,호림아트센터,서울특별시 강남구 신사동 651-16,127.0362855,37.5227734
157,송도글로벌파크,인천광역시 연수구 송도동,126.6595005,37.3768430
158,낙산묘각사,서울특별시 종로구 숭인동 178-3,127.0187920,37.5755260
159,연수체육공원,인천광역시 연수구 연수동,126.6857537,37.4089039
160,미추홀공원,인천광역시 연수구 송도동 9-1,126.6501004,37.3821260
161,상상아트센터,경기도 부천시 상동 572-1,126.7442693,37.5000522
162,서울역사박물관,서울특별시 종로구 신문로2가 2-1,126.9704375,37.5701433
163,한성백제박물관,서울특별시 송파구 방이동 88-20,127.1207658,37.5155665
164,한양공원표석,서울특별시 중구 회현동1가 산1-2,126.9835520,37.5540770
165,부평깡시장,인천광역시 부평구 부평동 252-3,126.7267889,37.4965943
166,교하향교,경기도 파주시 금촌동 1013,126.7768567,37.7496735
167,서울중앙시장,서울특별시 중구 황학동 442,127.0197731,37.5673851
168,안락꽃밭공원,부산광역시 동래구 안락동,129.1126250,35.1910083
